"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-06-30,1907,"Madison","NC","Asheville",1452,189600,0.00636942675159236,0.0112,0.0377668308702791,,,"2007-11","2007-Q4",197300,-0.0390268626457172,"2007-01"
2018-06-30,793,"Wayne","MS",,1453,97500,-0.00102459016393443,0,0,,,"2017-11","2017-Q4",98000,-0.00510204081632653,"2017-10"
2018-06-30,284,"Polk","AR",,1454,92200,-0.00324324324324324,0.00326441784548422,0.0808909730363423,,,"2018-05","2018-Q2",92500,-0.00324324324324324,"2018-05"
2018-06-30,127,"Clay","MS",,1455,100000,0.0121457489878542,0.0341261633919338,0.0256410256410256,,,"2018-06","2018-Q2",100000,0,"2018-06"
2018-06-30,2365,"Kewaunee","WI","Green Bay",1456,139700,0.00720980533525595,0.0189642596644785,0.0363501483679525,,,"2018-06","2018-Q2",139700,0,"2018-06"
2018-06-30,290,"Polk","NC",,1457,207900,0.00144508670520231,0.0141463414634146,0.0505305709954522,,,"2018-06","2018-Q2",207900,0,"2018-06"
2018-06-30,1877,"Lincoln","NM",,1458,191400,0.00789889415481832,0.0164630908125332,0.0621531631520533,,,"2004-04","2004-Q2",217500,-0.12,"2003-08"
2018-06-30,1529,"Bandera","TX","San Antonio",1459,225100,-0.000887705281846427,-0.00486295313881521,0.0406842348589921,,,"2018-03","2018-Q1",226200,-0.00486295313881521,"2018-01"
2018-06-30,1786,"Hubbard","MN",,1460,182500,0.00385038503850385,0.00996126175982291,0.031656302996043,,,"2017-12","2017-Q4",183300,-0.00436442989634479,"2017-10"
2018-06-30,3239,"East Feliciana","LA","Baton Rouge",1461,166900,0.00542168674698795,0.0109024833434282,0.0437773608505316,,,"2018-06","2018-Q2",166900,0,"2018-06"
2018-06-30,3086,"Buena Vista","IA","Storm Lake",1462,106200,0.0028328611898017,0.0152963671128107,0.0937178166838311,,,"2018-06","2018-Q2",106200,0,"2018-06"
2018-06-30,2426,"McIntosh","OK",,1463,85600,0.00943396226415094,0.0541871921182266,0.167803547066849,,,"2018-06","2018-Q2",85600,0,"2018-06"
2018-06-30,3065,"Washington","NE","Omaha",1464,177900,0.00736126840317101,0.0200688073394495,0.0697534576067348,,,"2009-12","2009-Q4",190300,-0.0651602732527588,"2009-06"
2018-06-30,577,"Jones","TX","Abilene",1465,69400,0.0116618075801749,0.029673590504451,0.0644171779141104,,,"2018-06","2018-Q2",69400,0,"2018-06"
2018-06-30,200,"Kent","MD",,1466,198300,0.00252780586450961,0.00916030534351145,0.0425867507886435,,,"2007-05","2007-Q2",241900,-0.18023976849938,"2005-02"
2018-06-30,1593,"Carroll","IN","Lafayette-West Lafayette",1467,115400,0.0113935144609991,0.0377697841726619,0.190918472652219,,,"2018-06","2018-Q2",115400,0,"2018-06"
2018-06-30,1661,"De Witt","TX",,1468,101400,-0.00294985250737463,-0.00588235294117647,0.0099601593625498,,,"2018-04","2018-Q2",102000,-0.00588235294117647,"2018-01"
2018-06-30,483,"Dodge","MN","Rochester",1469,189000,0.00371747211895911,0.00531914893617021,0.0373216245883644,,,"2018-01","2018-Q1",189300,-0.00158478605388273,"2017-11"
2018-06-30,2605,"Woodward","OK","Woodward",1470,96300,0.00521920668058455,0.0168954593453009,0.0664451827242525,,,"2018-06","2018-Q2",96300,0,"2018-06"
2018-06-30,2433,"Minidoka","ID","Burley",1471,150400,0.0141604855023601,0.0488145048814505,0.160493827160494,,,"2018-06","2018-Q2",150400,0,"2018-06"
2018-06-30,3155,"Breckinridge","KY",,1472,96100,0.0147835269271383,0.0344456404736276,0.08710407239819,,,"2018-06","2018-Q2",96100,0,"2018-06"
